term	reading	meaning	detail	example	exampleMeaning	partOfSpeech
妥当性を可視化する	だとうせいをかしかする	타당성을 시각화하다	타당성을 시각화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を可視化した。	담당자는 회의에서 타당성을 시각화했다.	동사구
妥当性を把握する	だとうせいをはあくする	타당성을 파악하다	타당성을 파악한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を把握した。	담당자는 회의에서 타당성을 파악했다.	동사구
妥当性を抑制する	だとうせいをよくせいする	타당성을 억제하다	타당성을 억제한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を抑制した。	담당자는 회의에서 타당성을 억제했다.	동사구
妥当性を改善する	だとうせいをかいぜんする	타당성을 개선하다	타당성을 개선한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を改善した。	담당자는 회의에서 타당성을 개선했다.	동사구
妥当性を改定する	だとうせいをかいていする	타당성을 개정하다	타당성을 개정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を改定した。	담당자는 회의에서 타당성을 개정했다.	동사구
妥当性を数値化する	だとうせいをすうちかする	타당성을 수치화하다	타당성을 수치화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を数値化した。	담당자는 회의에서 타당성을 수치화했다.	동사구
妥当性を整理する	だとうせいをせいりする	타당성을 정리하다	타당성을 정리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を整理した。	담당자는 회의에서 타당성을 정리했다.	동사구
妥当性を明確化する	だとうせいをめいかくかする	타당성을 명확히 하다	타당성을 명확히 한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を明確化した。	담당자는 회의에서 타당성을 명확히 했다.	동사구
妥当性を検討する	だとうせいをけんとうする	타당성을 검토하다	타당성을 검토한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を検討した。	담당자는 회의에서 타당성을 검토했다.	동사구
妥当性を検証する	だとうせいをけんしょうする	타당성을 검증하다	타당성을 검증한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を検証した。	담당자는 회의에서 타당성을 검증했다.	동사구
妥当性を標準化する	だとうせいをひょうじゅんかする	타당성을 표준화하다	타당성을 표준화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を標準化した。	담당자는 회의에서 타당성을 표준화했다.	동사구
妥当性を比較する	だとうせいをひかくする	타당성을 비교하다	타당성을 비교한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を比較した。	담당자는 회의에서 타당성을 비교했다.	동사구
妥当性を監視する	だとうせいをかんしする	타당성을 감시하다	타당성을 감시한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を監視した。	담당자는 회의에서 타당성을 감시했다.	동사구
妥当性を確認する	だとうせいをかくにんする	타당성을 확인하다	타당성을 확인한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を確認した。	담당자는 회의에서 타당성을 확인했다.	동사구
妥当性を管理する	だとうせいをかんりする	타당성을 관리하다	타당성을 관리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を管理した。	담당자는 회의에서 타당성을 관리했다.	동사구
妥当性を観察する	だとうせいをかんさつする	타당성을 관찰하다	타당성을 관찰한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を観察した。	담당자는 회의에서 타당성을 관찰했다.	동사구
妥当性を解釈する	だとうせいをかいしゃくする	타당성을 해석하다	타당성을 해석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を解釈した。	담당자는 회의에서 타당성을 해석했다.	동사구
妥当性を記録する	だとうせいをきろくする	타당성을 기록하다	타당성을 기록한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を記録した。	담당자는 회의에서 타당성을 기록했다.	동사구
妥当性を評価する	だとうせいをひょうかする	타당성을 평가하다	타당성을 평가한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を評価した。	담당자는 회의에서 타당성을 평가했다.	동사구
妥当性を調査する	だとうせいをちょうさする	타당성을 조사하다	타당성을 조사한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を調査した。	담당자는 회의에서 타당성을 조사했다.	동사구
妥当性を軽減する	だとうせいをけいげんする	타당성을 경감하다	타당성을 경감한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を軽減した。	담당자는 회의에서 타당성을 경감했다.	동사구
妥当性を防止する	だとうせいをぼうしする	타당성을 방지하다	타당성을 방지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で妥当性を防止した。	담당자는 회의에서 타당성을 방지했다.	동사구
妥当性予測	だとうせいよそく	타당성 예측	타당성을 예측하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性予測の結果を共有した。	회의에서는 타당성 예측 결과를 공유했다.	복합명사
妥当性体系化	だとうせいたいけいか	타당성 체계화	타당성을 체계화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性体系化の結果を共有した。	회의에서는 타당성 체계화 결과를 공유했다.	복합명사
妥当性保護	だとうせいほご	타당성 보호	타당성을 보호하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性保護の結果を共有した。	회의에서는 타당성 보호 결과를 공유했다.	복합명사
妥当性共有	だとうせいきょうゆう	타당성 공유	타당성을 공유하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性共有の結果を共有した。	회의에서는 타당성 공유 결과를 공유했다.	복합명사
妥当性具体化	だとうせいぐたいか	타당성 구체화	타당성을 구체화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性具体化の結果を共有した。	회의에서는 타당성 구체화 결과를 공유했다.	복합명사
妥当性分析	だとうせいぶんせき	타당성 분석	타당성을 분석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性分析の結果を共有した。	회의에서는 타당성 분석 결과를 공유했다.	복합명사
妥当性分類	だとうせいぶんるい	타당성 분류	타당성을 분류하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性分類の結果を共有した。	회의에서는 타당성 분류 결과를 공유했다.	복합명사
妥当性可視化	だとうせいかしか	타당성 시각화	타당성을 시각화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性可視化の結果を共有した。	회의에서는 타당성 시각화 결과를 공유했다.	복합명사
妥当性把握	だとうせいはあく	타당성 파악	타당성을 파악하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性把握の結果を共有した。	회의에서는 타당성 파악 결과를 공유했다.	복합명사
妥当性抑制	だとうせいよくせい	타당성 억제	타당성을 억제하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性抑制の結果を共有した。	회의에서는 타당성 억제 결과를 공유했다.	복합명사
妥当性改善	だとうせいかいぜん	타당성 개선	타당성을 개선하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性改善の結果を共有した。	회의에서는 타당성 개선 결과를 공유했다.	복합명사
妥当性改定	だとうせいかいてい	타당성 개정	타당성을 개정하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性改定の結果を共有した。	회의에서는 타당성 개정 결과를 공유했다.	복합명사
妥当性数値化	だとうせいすうちか	타당성 수치화	타당성을 수치화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性数値化の結果を共有した。	회의에서는 타당성 수치화 결과를 공유했다.	복합명사
妥当性整理	だとうせいせいり	타당성 정리	타당성을 정리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性整理の結果を共有した。	회의에서는 타당성 정리 결과를 공유했다.	복합명사
妥当性明確化	だとうせいめいかくか	타당성 명확화	타당성을 명확히 하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性明確化の結果を共有した。	회의에서는 타당성 명확화 결과를 공유했다.	복합명사
妥当性検討	だとうせいけんとう	타당성 검토	타당성을 검토하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性検討の結果を共有した。	회의에서는 타당성 검토 결과를 공유했다.	복합명사
妥当性検証	だとうせいけんしょう	타당성 검증	타당성을 검증하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性検証の結果を共有した。	회의에서는 타당성 검증 결과를 공유했다.	복합명사
妥当性標準化	だとうせいひょうじゅんか	타당성 표준화	타당성을 표준화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性標準化の結果を共有した。	회의에서는 타당성 표준화 결과를 공유했다.	복합명사
妥当性比較	だとうせいひかく	타당성 비교	타당성을 비교하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性比較の結果を共有した。	회의에서는 타당성 비교 결과를 공유했다.	복합명사
妥当性監視	だとうせいかんし	타당성 감시	타당성을 감시하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性監視の結果を共有した。	회의에서는 타당성 감시 결과를 공유했다.	복합명사
妥当性確認	だとうせいかくにん	타당성 확인	타당성을 확인하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性確認の結果を共有した。	회의에서는 타당성 확인 결과를 공유했다.	복합명사
妥当性管理	だとうせいかんり	타당성 관리	타당성을 관리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性管理の結果を共有した。	회의에서는 타당성 관리 결과를 공유했다.	복합명사
妥当性観察	だとうせいかんさつ	타당성 관찰	타당성을 관찰하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性観察の結果を共有した。	회의에서는 타당성 관찰 결과를 공유했다.	복합명사
妥当性解釈	だとうせいかいしゃく	타당성 해석	타당성을 해석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性解釈の結果を共有した。	회의에서는 타당성 해석 결과를 공유했다.	복합명사
妥当性記録	だとうせいきろく	타당성 기록	타당성을 기록하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性記録の結果を共有した。	회의에서는 타당성 기록 결과를 공유했다.	복합명사
妥当性評価	だとうせいひょうか	타당성 평가	타당성을 평가하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性評価の結果を共有した。	회의에서는 타당성 평가 결과를 공유했다.	복합명사
妥当性調査	だとうせいちょうさ	타당성 조사	타당성을 조사하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性調査の結果を共有した。	회의에서는 타당성 조사 결과를 공유했다.	복합명사
妥当性軽減	だとうせいけいげん	타당성 경감	타당성을 경감하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性軽減の結果を共有した。	회의에서는 타당성 경감 결과를 공유했다.	복합명사
妥当性防止	だとうせいぼうし	타당성 방지	타당성을 방지하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では妥当性防止の結果を共有した。	회의에서는 타당성 방지 결과를 공유했다.	복합명사
安全基準を予測する	あんぜんきじゅんをよそくする	안전 기준을 예측하다	안전 기준을 예측한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を予測した。	담당자는 회의에서 안전 기준을 예측했다.	동사구
安全基準を体系化する	あんぜんきじゅんをたいけいかする	안전 기준을 체계화하다	안전 기준을 체계화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を体系化した。	담당자는 회의에서 안전 기준을 체계화했다.	동사구
安全基準を保護する	あんぜんきじゅんをほごする	안전 기준을 보호하다	안전 기준을 보호한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を保護した。	담당자는 회의에서 안전 기준을 보호했다.	동사구
安全基準を共有する	あんぜんきじゅんをきょうゆうする	안전 기준을 공유하다	안전 기준을 공유한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を共有した。	담당자는 회의에서 안전 기준을 공유했다.	동사구
安全基準を具体化する	あんぜんきじゅんをぐたいかする	안전 기준을 구체화하다	안전 기준을 구체화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を具体化した。	담당자는 회의에서 안전 기준을 구체화했다.	동사구
安全基準を処理する	あんぜんきじゅんをしょりする	안전 기준을 처리하다	안전 기준을 처리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を処理した。	담당자는 회의에서 안전 기준을 처리했다.	동사구
安全基準を分析する	あんぜんきじゅんをぶんせきする	안전 기준을 분석하다	안전 기준을 분석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を分析した。	담당자는 회의에서 안전 기준을 분석했다.	동사구
安全基準を可視化する	あんぜんきじゅんをかしかする	안전 기준을 시각화하다	안전 기준을 시각화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を可視化した。	담당자는 회의에서 안전 기준을 시각화했다.	동사구
安全基準を導入する	あんぜんきじゅんをどうにゅうする	안전 기준을 도입하다	안전 기준을 도입한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を導入した。	담당자는 회의에서 안전 기준을 도입했다.	동사구
安全基準を強化する	あんぜんきじゅんをきょうかする	안전 기준을 강화하다	안전 기준을 강화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を強化した。	담당자는 회의에서 안전 기준을 강화했다.	동사구
安全基準を復旧する	あんぜんきじゅんをふっきゅうする	안전 기준을 복구하다	안전 기준을 복구한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を復旧した。	담당자는 회의에서 안전 기준을 복구했다.	동사구
安全基準を把握する	あんぜんきじゅんをはあくする	안전 기준을 파악하다	안전 기준을 파악한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を把握した。	담당자는 회의에서 안전 기준을 파악했다.	동사구
安全基準を抑制する	あんぜんきじゅんをよくせいする	안전 기준을 억제하다	안전 기준을 억제한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を抑制した。	담당자는 회의에서 안전 기준을 억제했다.	동사구
安全基準を拡大する	あんぜんきじゅんをかくだいする	안전 기준을 확대하다	안전 기준을 확대한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を拡大した。	담당자는 회의에서 안전 기준을 확대했다.	동사구
安全基準を推進する	あんぜんきじゅんをすいしんする	안전 기준을 추진하다	안전 기준을 추진한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を推進した。	담당자는 회의에서 안전 기준을 추진했다.	동사구
安全基準を改善する	あんぜんきじゅんをかいぜんする	안전 기준을 개선하다	안전 기준을 개선한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を改善した。	담당자는 회의에서 안전 기준을 개선했다.	동사구
安全基準を改定する	あんぜんきじゅんをかいていする	안전 기준을 개정하다	안전 기준을 개정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を改定した。	담당자는 회의에서 안전 기준을 개정했다.	동사구
安全基準を数値化する	あんぜんきじゅんをすうちかする	안전 기준을 수치화하다	안전 기준을 수치화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を数値化した。	담당자는 회의에서 안전 기준을 수치화했다.	동사구
安全基準を整理する	あんぜんきじゅんをせいりする	안전 기준을 정리하다	안전 기준을 정리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を整理した。	담당자는 회의에서 안전 기준을 정리했다.	동사구
安全基準を明確化する	あんぜんきじゅんをめいかくかする	안전 기준을 명확히 하다	안전 기준을 명확히 한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を明確化した。	담당자는 회의에서 안전 기준을 명확히 했다.	동사구
安全基準を最適化する	あんぜんきじゅんをさいてきかする	안전 기준을 최적화하다	안전 기준을 최적화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を最適化した。	담당자는 회의에서 안전 기준을 최적화했다.	동사구
安全基準を検討する	あんぜんきじゅんをけんとうする	안전 기준을 검토하다	안전 기준을 검토한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を検討した。	담당자는 회의에서 안전 기준을 검토했다.	동사구
安全基準を検証する	あんぜんきじゅんをけんしょうする	안전 기준을 검증하다	안전 기준을 검증한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を検証した。	담당자는 회의에서 안전 기준을 검증했다.	동사구
安全基準を構築する	あんぜんきじゅんをこうちくする	안전 기준을 구축하다	안전 기준을 구축한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を構築した。	담당자는 회의에서 안전 기준을 구축했다.	동사구
安全基準を標準化する	あんぜんきじゅんをひょうじゅんかする	안전 기준을 표준화하다	안전 기준을 표준화한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を標準化した。	담당자는 회의에서 안전 기준을 표준화했다.	동사구
安全基準を比較する	あんぜんきじゅんをひかくする	안전 기준을 비교하다	안전 기준을 비교한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を比較した。	담당자는 회의에서 안전 기준을 비교했다.	동사구
安全基準を活用する	あんぜんきじゅんをかつようする	안전 기준을 활용하다	안전 기준을 활용한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を活用した。	담당자는 회의에서 안전 기준을 활용했다.	동사구
安全基準を監視する	あんぜんきじゅんをかんしする	안전 기준을 감시하다	안전 기준을 감시한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を監視した。	담당자는 회의에서 안전 기준을 감시했다.	동사구
安全基準を確認する	あんぜんきじゅんをかくにんする	안전 기준을 확인하다	안전 기준을 확인한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を確認した。	담당자는 회의에서 안전 기준을 확인했다.	동사구
安全基準を管理する	あんぜんきじゅんをかんりする	안전 기준을 관리하다	안전 기준을 관리한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を管理した。	담당자는 회의에서 안전 기준을 관리했다.	동사구
安全基準を維持する	あんぜんきじゅんをいじする	안전 기준을 유지하다	안전 기준을 유지한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を維持した。	담당자는 회의에서 안전 기준을 유지했다.	동사구
安全基準を縮小する	あんぜんきじゅんをしゅくしょうする	안전 기준을 축소하다	안전 기준을 축소한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を縮小した。	담당자는 회의에서 안전 기준을 축소했다.	동사구
安全基準を解釈する	あんぜんきじゅんをかいしゃくする	안전 기준을 해석하다	안전 기준을 해석한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を解釈した。	담당자는 회의에서 안전 기준을 해석했다.	동사구
安全基準を記録する	あんぜんきじゅんをきろくする	안전 기준을 기록하다	안전 기준을 기록한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を記録した。	담당자는 회의에서 안전 기준을 기록했다.	동사구
安全基準を設計する	あんぜんきじゅんをせっけいする	안전 기준을 설계하다	안전 기준을 설계한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を設計した。	담당자는 회의에서 안전 기준을 설계했다.	동사구
安全基準を評価する	あんぜんきじゅんをひょうかする	안전 기준을 평가하다	안전 기준을 평가한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を評価した。	담당자는 회의에서 안전 기준을 평가했다.	동사구
安全基準を調整する	あんぜんきじゅんをちょうせいする	안전 기준을 조정하다	안전 기준을 조정한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を調整した。	담당자는 회의에서 안전 기준을 조정했다.	동사구
安全基準を運用する	あんぜんきじゅんをうんようする	안전 기준을 운용하다	안전 기준을 운용한다는 뜻의 한자 기반 동사구입니다. 업무, 연구, 정책, 기술 문맥에서 폭넓게 쓰일 수 있습니다.	担当者は会議で安全基準を運用した。	담당자는 회의에서 안전 기준을 운용했다.	동사구
安全基準予測	あんぜんきじゅんよそく	안전 기준 예측	안전 기준을 예측하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準予測の結果を共有した。	회의에서는 안전 기준 예측 결과를 공유했다.	복합명사
安全基準体系化	あんぜんきじゅんたいけいか	안전 기준 체계화	안전 기준을 체계화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準体系化の結果を共有した。	회의에서는 안전 기준 체계화 결과를 공유했다.	복합명사
安全基準保護	あんぜんきじゅんほご	안전 기준 보호	안전 기준을 보호하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準保護の結果を共有した。	회의에서는 안전 기준 보호 결과를 공유했다.	복합명사
安全基準共有	あんぜんきじゅんきょうゆう	안전 기준 공유	안전 기준을 공유하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準共有の結果を共有した。	회의에서는 안전 기준 공유 결과를 공유했다.	복합명사
安全基準具体化	あんぜんきじゅんぐたいか	안전 기준 구체화	안전 기준을 구체화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準具体化の結果を共有した。	회의에서는 안전 기준 구체화 결과를 공유했다.	복합명사
安全基準処理	あんぜんきじゅんしょり	안전 기준 처리	안전 기준을 처리하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準処理の結果を共有した。	회의에서는 안전 기준 처리 결과를 공유했다.	복합명사
安全基準分析	あんぜんきじゅんぶんせき	안전 기준 분석	안전 기준을 분석하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準分析の結果を共有した。	회의에서는 안전 기준 분석 결과를 공유했다.	복합명사
安全基準可視化	あんぜんきじゅんかしか	안전 기준 시각화	안전 기준을 시각화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準可視化の結果を共有した。	회의에서는 안전 기준 시각화 결과를 공유했다.	복합명사
安全基準導入	あんぜんきじゅんどうにゅう	안전 기준 도입	안전 기준을 도입하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準導入の結果を共有した。	회의에서는 안전 기준 도입 결과를 공유했다.	복합명사
安全基準強化	あんぜんきじゅんきょうか	안전 기준 강화	안전 기준을 강화하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準強化の結果を共有した。	회의에서는 안전 기준 강화 결과를 공유했다.	복합명사
安全基準復旧	あんぜんきじゅんふっきゅう	안전 기준 복구	안전 기준을 복구하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準復旧の結果を共有した。	회의에서는 안전 기준 복구 결과를 공유했다.	복합명사
安全基準把握	あんぜんきじゅんはあく	안전 기준 파악	안전 기준을 파악하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準把握の結果を共有した。	회의에서는 안전 기준 파악 결과를 공유했다.	복합명사
安全基準抑制	あんぜんきじゅんよくせい	안전 기준 억제	안전 기준을 억제하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準抑制の結果を共有した。	회의에서는 안전 기준 억제 결과를 공유했다.	복합명사
安全基準拡大	あんぜんきじゅんかくだい	안전 기준 확대	안전 기준을 확대하는 과정이나 결과를 가리키는 한자 복합 명사입니다.	会議では安全基準拡大の結果を共有した。	회의에서는 안전 기준 확대 결과를 공유했다.	복합명사
